,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
SHW,Sherwin-Williams,stocks,3,35,XLB,-1.4268614144293437,-2.1629791825636038,2.140078853741041,-10.192349909679187,-5.610383057672607,-15.599821697525092,57.356518655935304
EURUSD=X,EUR/USD,fx,1,100,,0.31877647206590876,0.9846607697889855,1.6505333573229772,-0.7001189323878099,1.9622252313809847,12.53601010379341,19.523023304676418
GBPUSD=X,GBP/USD,fx,1,90,,0.3554931784277806,0.9929766086672864,1.0960565067753716,-0.5220545078764133,1.9844575297100795,7.869609455230549,18.050287971994454
USDJPY=X,USD/JPY,fx,1,90,,-0.21732278001032945,-0.1533531705007996,0.09450339236414512,2.83916685400783,7.6633226106799945,3.8291822229012373,7.404930823002888
USDCAD=X,USD/CAD,fx,1,60,,-0.3648919860916441,-0.6366361052013997,-0.1635561960892782,1.348132807165787,-0.2614247253650978,-2.2656983296143434,0.8569535749044566
USDCHF=X,USD/CHF,fx,1,60,,-0.23110497814445696,-1.1986798604253337,-0.8388294918340878,1.668033532217118,-3.163880051745212,-11.833862920008235,-21.837550901990515
AUDUSD=X,AUD/USD,fx,1,50,,1.0343015819628927,1.371285375550541,2.5128945732602666,1.3841900036404104,10.810015172354987,10.772723327085217,12.131665256848706
NZDUSD=X,NZD/USD,fx,1,40,,0.7334569955680142,1.103745764982576,1.3184600952925076,-2.096305056149126,0.09759790731365996,1.3356137316494412,1.1486962297792007
USDZAR=X,USD/ZAR,fx,1,40,,-0.15421338829310324,-0.13859714441668722,-3.2586966815314202,2.694571156436938,-8.587045410134438,-10.036685714729355,-10.179471238878959
USDCNY=X,USD/CNY,fx,1,50,,-0.1873964556567543,-0.20346932296856649,-1.078090094119262,-1.3472067324939199,-5.093688668635687,-5.991447177133172,-6.309262250349539
USDMXN=X,USD/MXN,fx,1,35,,-0.1852042379834165,-0.7207347077884718,-2.724892992628202,0.3613816059004721,-7.938995325409037,-16.494370354690652,-12.56735948498133
BTC-USD,Bitcoin,crypto,1,200,,1.2866122689185724,2.955632170963455,5.365534339833901,12.156786051313054,-34.68021780566471,-21.702733260800684,272.7077779885534
ETH-USD,Ethereum,crypto,1,120,,2.3669457955804543,5.930625810055513,9.699099661539764,22.553534911310344,-35.441062063752426,-34.97025018469512,56.49678191352425
SOL-USD,Solana,crypto,1,70,,1.8327385217514525,0.5676414683165331,-6.976717874143745,7.640912655769684,-49.273301931259304,-64.79190363334706,177.08778050354798
XRP-USD,XRP,crypto,1,60,,2.8984559571513646,3.294541423243301,-0.9148405595386451,2.432785585287268,-53.163355988195924,-4.855480559323984,210.79635352946536
BNB-USD,BNB,crypto,1,50,,1.9205326714104212,3.273725860685809,-3.3210526593690415,3.0703686332157707,-18.707310055737697,-2.9643405083603076,95.4799172943103
ADA-USD,Cardano,crypto,1,40,,4.186223636483463,-1.7930517858725226,-7.623557359108569,-2.2899445381416603,-66.33836371791362,-75.3588600965442,-35.32361690990532
