,Report_Date_as_MM_DD_YYYY,Instrument,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Dealer Net,Asset Manager Net,Levered Net,Other Rept Positions Net,Non Rept Positions Net,Dealer Net Pct OI,AM Net Pct OI,HF Net Pct OI,Other Rept Positions Net Pct OI,Non Rept Positions Net Pct OI,Price
792,2025-12-16,3 Month US,19271518,2912892,2709148,2941837,985074,563743,2001936,1554466,2085998,8531067,132990,227235,161247,50007,49306,15.899999999999999,16.7,26.1,28.100000000000005,203744,421331,-531532,-94245,701,0.010572286002586823,0.021862885943909557,-0.027581221157565273,-0.004890377602843741,3.637492386432662e-05,109.0097427368164
793,2025-12-23,3 Month US,18091898,2372359,2466291,2692342,1178999,518737,1774346,1316678,1830449,8424507,142330,196195,169690,20645,19340,16.3,16.3,26.9,28.4,-93932,660262,-513771,-53865,1305,-0.005191937297015493,0.03649489954011459,-0.028397849689402406,-0.0029772995624892423,7.21317354320702e-05,109.07605743408203
794,2025-12-30,3 Month US,18006519,2472164,2376754,2636088,1175565,513211,1767788,1229211,1928341,8387026,142629,199181,175127,20920,23002,16.1,16.6,26.6,28.7,95410,662354,-699130,-56552,-2082,0.005298636566012565,0.03678412246142633,-0.03882649389368373,-0.0031406403425337233,-0.00011562479122144596,109.15535736083984
795,2026-01-06,3 Month US,18340866,2657839,2377244,2602980,1175454,568078,1797721,1218181,2062595,8533408,158484,202468,172340,24459,24033,16.3,17.0,26.6,29.1,280595,607376,-844414,-43984,426,0.01529889591909128,0.03311599354141729,-0.04604002886232308,-0.0023981419416073376,2.3226820369332614e-05,109.22474670410156
796,2026-01-13,3 Month US,19049942,2762920,2150512,2693957,1062022,594511,2010587,1256386,2315252,8874692,196174,219204,170556,22648,20671,16.9,16.9,27.4,28.9,612408,467511,-1058866,-23030,1977,0.032147499451704364,0.024541334561543546,-0.055583686291538315,-0.0012089275652387814,0.0001037798435291824,109.29412841796875
797,2026-01-20,3 Month US,19665515,3039425,2125211,2725635,947011,764816,2089009,1235588,2315600,9218973,200744,216578,174781,34350,34911,16.9,17.0,27.4,29.0,914214,182195,-1080012,-15834,-561,0.04648817994341872,0.00926469507663542,-0.05491908043089642,-0.00080516579403082,-2.8527094256112795e-05,109.35359954833984
798,2026-01-27,3 Month US,20275487,3139579,2043320,2797301,916631,911609,2158467,1239827,2311852,9596471,201986,232116,182211,43014,42140,16.7,17.1,27.0,28.6,1096259,5022,-1072025,-30130,874,0.054068195747899915,0.00024768825528087194,-0.052872959352345025,-0.0014860308904047533,4.310623956899284e-05,109.43290710449219
799,2026-02-03,3 Month US,21372452,3439663,2077876,2936068,874202,1163470,2233621,1149760,2203112,10294017,214072,233798,189969,41079,40520,16.8,17.8,27.3,29.1,1361787,-289268,-1053352,-19726,559,0.06371692868932399,-0.01353461923788623,-0.04928550079326415,-0.0009229638227752249,2.6155164601609587e-05,109.5043716430664
800,2026-02-10,3 Month US,21791175,3399612,2105042,3068689,932038,995484,2091466,1187376,2376327,10693045,200944,245148,175566,42440,40407,16.2,17.5,26.7,28.5,1294570,-63446,-1188951,-44204,2033,0.059407994291266995,-0.0029115456142222713,-0.0545611239412285,-0.0020285276034908628,9.329464794807989e-05,109.573974609375
801,2026-02-17,3 Month US,22013582,3401235,1970938,3228670,1000023,892278,2069095,946853,2462307,10930052,226269,250617,164984,46401,44641,16.0,17.7,26.4,28.6,1430297,107745,-1515454,-24348,1760,0.06497338779304522,0.004894478327061902,-0.0688417723203793,-0.0011060444411091297,7.995064138130723e-05,109.65351867675781
802,2026-02-24,3 Month US,22635590,3312510,1944764,3357797,986815,836285,2213660,1005154,2495645,11326404,226499,256941,157867,48883,46226,16.3,18.2,26.4,28.6,1367746,150530,-1490491,-30442,2657,0.06042457916935234,0.00665014695883783,-0.06584723437736767,-0.0013448732725765045,0.00011738152175401657,109.71317291259766
803,2026-03-03,3 Month US,23481436,3021834,1728720,3542450,1038957,801221,2483556,988723,2534235,11881055,263719,260232,197004,64138,52963,18.0,18.3,27.800000000000004,28.199999999999996,1293114,237736,-1545512,3487,11175,0.05506963032414201,0.010124423395570866,-0.06581846186919743,0.00014850028763147195,0.0004759078618530826,109.78681945800781
804,2026-03-10,3 Month US,23839305,3082779,1864476,3701073,1044097,930396,2413823,1019814,2364989,11971509,291856,277574,220845,93509,94619,17.8,17.7,27.6,27.9,1218303,113701,-1345175,14282,-1110,0.051104803600608324,0.004769476291360004,-0.056426770830777156,0.0005990946464253048,-4.6561760084868245e-05,109.85661315917969
805,2026-03-17,3 Month US,23735349,3197273,2126826,3777458,1059528,1046419,2454347,1277472,2457633,11477802,290563,192095,152200,48706,50569,17.3,17.7,27.8,28.0,1070447,13109,-1180161,98468,-1863,0.045099273661406876,0.0005522985990220747,-0.04972166198188196,0.004148580246281611,-7.849052482860058e-05,109.92640686035156
806,2026-03-24,3 Month US,24049195,2789297,2125156,3810722,1270032,959014,2244962,1174678,2225758,12338757,246482,172493,154291,19974,18043,17.4,18.4,27.7,29.0,664141,311018,-1051080,73989,1931,0.027615934753741238,0.012932574250406302,-0.043705413008626695,0.0030765686751677134,8.029374787804748e-05,109.9862289428711
807,2026-03-31,3 Month US,23773834,2841858,2375307,3803956,1299299,903087,2277269,1062683,2014710,12050274,259068,172499,151867,27561,24866,17.1,18.2,27.2,29.0,466551,396212,-952027,86569,2695,0.019624558663949618,0.016665885696013526,-0.040045160574436585,0.003641356291122416,0.00011335992335102533,110.06600189208984
808,2026-04-07,3 Month US,24003599,2846844,2265899,3842089,1288810,993834,2323653,1112375,2072740,12154987,258943,175760,156584,19313,18052,17.1,18.4,27.0,29.3,580945,294976,-960365,83183,1261,0.024202412313253523,0.012288823855122725,-0.04000920861909083,0.003465438661927322,5.2533788787256445e-05,110.13999938964844
809,2026-04-14,3 Month US,22209160,2937950,2258241,3545816,1275402,935840,2149784,1011266,2106929,10845257,253567,178164,154796,35323,34335,16.3,17.3,26.5,28.5,679709,339562,-1095663,75403,988,0.030604894557020618,0.015289277037042373,-0.04933383342728856,0.003395130657800655,4.448614895835772e-05,110.22000122070312
810,2018-04-10,BTC,1702,0,0,0,122,0,0,902,1108,25,53,207,1,599,361,57.1,52.6,64.7,67.9,0,122,-206,-154,238,0.0,0.07168037602820211,-0.12103407755581669,-0.09048178613396005,0.1398354876615746,6834.759765625
811,2018-04-17,BTC,2029,0,0,0,122,0,0,1053,1313,42,130,332,0,682,342,51.1,55.1,65.1,73.9,0,122,-260,-202,340,0.0,0.06012814194184327,-0.12814194184327254,-0.09955643173977329,0.16757023164120255,7902.08984375
812,2018-04-24,BTC,2380,0,0,0,105,0,0,1194,1682,46,198,336,8,829,308,45.8,62.1,59.9,80.0,0,105,-488,-138,521,0.0,0.04411764705882353,-0.20504201680672268,-0.05798319327731093,0.21890756302521008,9697.5
813,2018-05-01,BTC,1991,0,0,0,0,0,0,1198,1348,27,177,283,0,589,333,55.0,60.2,65.6,75.2,0,0,-150,-106,256,0.0,0.0,-0.07533902561526871,-0.053239578101456554,0.12857860371672528,9119.009765625
814,2018-05-08,BTC,2485,0,0,0,0,0,0,1284,1707,20,391,368,0,790,390,44.3,58.9,62.1,74.5,0,0,-423,23,400,0.0,0.0,-0.17022132796780684,0.00925553319919517,0.16096579476861167,9234.8203125
815,2018-05-15,BTC,2505,0,0,0,0,29,0,1338,1657,26,337,366,0,804,427,45.5,53.0,60.8,70.5,0,-29,-319,-29,377,0.0,-0.01157684630738523,-0.12734530938123753,-0.01157684630738523,0.150499001996008,8510.3798828125
816,2018-05-22,BTC,2684,0,0,0,0,29,0,1323,1872,50,462,327,0,849,406,40.4,51.099999999999994,56.0,72.5,0,-29,-549,135,443,0.0,-0.010804769001490314,-0.20454545454545456,0.05029806259314456,0.1650521609538003,8041.77978515625
817,2018-05-29,BTC,2714,0,0,0,38,25,0,1172,1812,55,486,416,3,960,403,42.6,45.3,57.20000000000001,66.0,0,13,-640,70,557,0.0,0.004789977892409728,-0.23581429624170966,0.025792188651436992,0.20523212969786292,7472.58984375
818,2018-06-05,BTC,2556,0,0,0,47,29,0,1126,1845,27,540,305,0,816,350,50.8,60.3,62.5,74.9,0,18,-719,235,466,0.0,0.007042253521126761,-0.28129890453834117,0.09194053208137715,0.18231611893583724,7633.759765625
819,2018-06-12,BTC,2643,29,0,0,0,108,0,1349,1634,19,427,440,0,819,442,50.3,50.2,63.89999999999999,63.8,29,-108,-285,-13,377,0.010972379871358306,-0.04086265607264472,-0.10783200908059024,-0.004918653045781309,0.14264093832765795,6582.35986328125
820,2018-06-19,BTC,2633,29,0,0,52,59,0,1478,1414,111,159,590,0,804,459,43.6,44.6,59.10000000000001,61.89999999999999,29,-7,64,-431,345,0.011014052411697683,-0.002658564375237372,0.024306874287884542,-0.16369160653247247,0.13102924420812762,6769.93994140625
821,2018-06-26,BTC,2687,29,0,0,0,111,0,1508,1505,137,171,515,3,839,416,41.7,43.7,56.6,60.4,29,-111,3,-344,423,0.010792705619650168,-0.041310011164867884,0.0011164867882396724,-0.12802381838481577,0.15742463714179383,6093.669921875
822,2018-07-03,BTC,2514,0,0,0,44,84,0,1198,1639,42,438,366,6,786,377,44.8,49.0,58.099999999999994,67.7,0,-40,-441,72,409,0.0,-0.015910898965791568,-0.17541766109785203,0.028639618138424822,0.16268894192521877,6529.58984375
823,2018-07-10,BTC,2622,0,0,0,0,119,0,1412,1652,102,396,368,11,701,370,40.6,50.5,54.300000000000004,66.0,0,-119,-240,28,331,0.0,-0.04538520213577422,-0.09153318077803203,0.010678871090770405,0.12623951182303586,6329.9501953125
824,2018-07-17,BTC,2854,0,0,0,25,89,0,1469,1990,68,493,332,15,784,360,38.0,58.8,54.1,73.2,0,-64,-521,161,424,0.0,-0.02242466713384723,-0.18255080588647513,0.05641205325858444,0.14856341976173792,7321.0400390625
825,2018-07-24,BTC,3431,30,0,0,44,164,6,1353,2313,174,868,392,25,931,357,35.7,61.4,51.4,75.0,30,-120,-960,476,574,0.008743806470416789,-0.034975225881667155,-0.27980180705333724,0.13873506266394636,0.16729816380064122,8424.26953125
826,2018-07-31,BTC,3063,0,0,0,0,209,9,1722,1969,258,259,340,0,815,278,37.7,54.89999999999999,54.10000000000001,69.5,0,-209,-247,-81,537,0.0,-0.06823375775383611,-0.08063989552726085,-0.02644466209598433,0.17531831537708129,7780.43994140625
827,2018-08-07,BTC,2732,0,0,0,0,143,23,1481,1454,293,135,470,0,800,349,43.7,47.6,59.9,63.5,0,-143,27,-335,451,0.0,-0.052342606149341143,0.009882869692532943,-0.1226207906295754,0.1650805270863836,6753.1201171875
828,2018-08-14,BTC,2983,0,0,0,0,215,8,2065,1766,67,138,521,0,705,406,49.89999999999999,44.8,65.5,60.2,0,-215,299,-383,299,0.0,-0.0720750921890714,0.10023466309084814,-0.12839423399262487,0.10023466309084814,6199.7099609375
829,2018-08-21,BTC,2981,0,0,0,0,191,13,2104,1838,68,85,515,0,711,356,54.1,46.8,69.8,63.3,0,-191,266,-430,355,0.0,-0.06407245890640724,0.08923180140892319,-0.1442468970144247,0.11908755451190875,6488.759765625
830,2018-08-28,BTC,2840,0,0,0,67,170,13,1688,1745,53,160,529,0,859,330,49.7,49.4,60.8,63.8,0,-103,-57,-369,529,0.0,-0.03626760563380282,-0.02007042253521127,-0.12992957746478873,0.18626760563380282,7096.27978515625
831,2018-09-04,BTC,2707,0,0,0,99,140,8,1187,1657,17,576,532,0,820,353,44.1,48.0,56.0,65.6,0,-41,-470,44,467,0.0,-0.015145917990395271,-0.1736239379386775,0.01625415589213151,0.17251570003694125,7361.66015625
832,2018-09-11,BTC,2711,0,0,0,0,199,10,1630,1322,198,116,727,14,743,241,46.3,39.0,61.0,57.9,0,-199,308,-611,502,0.0,-0.0734046477314644,0.11361121357432681,-0.2253780892659535,0.18517152342309112,6321.2001953125
833,2018-09-18,BTC,2742,0,0,0,0,140,10,1566,1382,203,90,654,15,858,338,46.8,39.7,62.4,60.0,0,-140,184,-564,520,0.0,-0.05105762217359591,0.06710430342815463,-0.20568927789934355,0.18964259664478483,6371.2998046875
834,2018-09-25,BTC,2746,0,1,35,0,131,18,1412,1420,277,213,539,2,789,323,49.5,42.5,60.9,61.3,-1,-131,-8,-326,466,-0.0003641660597232338,-0.047705753823743625,-0.0029133284777858705,-0.11871813546977422,0.16970138383102695,6446.47021484375
835,2018-10-02,BTC,2354,0,40,0,26,125,4,1237,1342,19,327,566,0,741,258,48.9,52.0,63.5,66.9,-40,-99,-105,-239,483,-0.016992353440951572,-0.04205607476635514,-0.044604927782497875,-0.10152931180968564,0.20518266779949024,6556.10009765625
836,2018-10-09,BTC,2848,0,76,0,0,121,0,1643,1656,24,395,606,0,786,365,43.8,50.0,58.89999999999999,66.1,-76,-121,-13,-211,421,-0.026685393258426966,-0.042485955056179775,-0.004564606741573034,-0.07408707865168539,0.14782303370786518,6642.64013671875
837,2018-10-16,BTC,2730,0,76,0,54,108,0,1606,1620,64,302,556,0,704,306,42.6,49.0,55.0,64.5,-76,-54,-14,-254,398,-0.02783882783882784,-0.01978021978021978,-0.005128205128205128,-0.09304029304029304,0.1457875457875458,6596.10986328125
838,2018-10-23,BTC,3001,0,76,0,0,161,0,1659,1400,466,211,531,0,665,367,51.5,53.0,64.3,65.2,-76,-161,259,-320,298,-0.025324891702765744,-0.05364878373875375,0.08630456514495169,-0.10663112295901367,0.09930023325558147,6475.740234375
839,2018-10-30,BTC,2608,0,0,0,0,238,0,1789,1511,82,184,451,0,553,326,51.89999999999999,46.1,65.5,64.0,0,-238,278,-267,227,0.0,-0.09125766871165644,0.10659509202453987,-0.10237730061349694,0.0870398773006135,6334.27001953125
840,2018-11-06,BTC,2913,0,0,0,72,108,0,1877,1965,0,299,552,0,665,288,41.8,59.60000000000001,55.8,74.9,0,-36,-88,-253,377,0.0,-0.012358393408856848,-0.030209406110538965,-0.08685204256779952,0.12941984208719534,6461.009765625
841,2018-11-13,BTC,3530,31,0,0,0,250,0,2462,2353,1,399,619,0,637,307,45.2,54.0,60.5,69.9,31,-250,109,-220,330,0.008781869688385268,-0.0708215297450425,0.030878186968838525,-0.06232294617563739,0.09348441926345609,6359.490234375
842,2018-11-20,BTC,3729,0,0,0,0,166,0,2152,1912,586,315,672,13,663,380,43.1,46.6,54.3,62.9,0,-166,240,-357,283,0.0,-0.0445159560203808,0.06436041834271923,-0.09573612228479485,0.07589165996245642,4451.8701171875
843,2018-11-27,BTC,3791,0,0,0,0,238,0,2416,2089,367,261,674,13,734,410,50.1,40.3,63.3,58.3,0,-238,327,-413,324,0.0,-0.06278026905829596,0.08625692429438143,-0.10894223160116065,0.08546557636507518,3820.719970703125
844,2018-12-04,BTC,3301,0,0,0,34,123,0,2409,2317,64,195,465,14,585,318,53.3,43.0,64.5,63.4,0,-89,92,-270,267,0.0,-0.02696152681005756,0.027870342320508938,-0.08179339594062406,0.08088458043017267,3956.893798828125
845,2018-12-11,BTC,3970,0,0,0,27,256,0,2905,2699,117,159,545,11,751,342,52.8,44.9,65.6,62.3,0,-229,206,-386,409,0.0,-0.05768261964735517,0.05188916876574307,-0.09722921914357682,0.10302267002518892,3424.588134765625
846,2018-12-18,BTC,4359,0,0,0,138,110,0,3091,3213,152,178,605,0,800,279,49.4,49.2,61.800000000000004,68.2,0,28,-122,-427,521,0.0,0.006423491626519844,-0.02798807065840789,-0.09795824730442762,0.11952282633631567,3696.05908203125
847,2018-12-24,BTC,3857,0,0,0,101,140,0,2690,2577,173,160,673,13,720,281,47.2,38.0,61.8,61.0,0,-39,113,-513,439,0.0,-0.01011148561057817,0.02929738138449572,-0.1330049261083744,0.11381903033445682,4078.59912109375
848,2018-12-31,BTC,3708,49,0,1,80,140,0,2452,2389,222,105,674,4,795,278,47.6,43.2,60.2,66.8,49,-60,63,-569,517,0.013214670981661273,-0.016181229773462782,0.01699029126213592,-0.1534519956850054,0.13942826321467097,3742.700439453125
849,2019-01-08,BTC,3764,0,0,0,165,140,0,2610,2648,68,201,602,0,720,306,50.6,45.0,63.3,68.8,0,25,-38,-401,414,0.0,0.0066418703506907545,-0.010095642933049946,-0.1065356004250797,0.1099893730074389,4030.847900390625
850,2019-01-15,BTC,4473,0,1,80,27,337,0,3417,2923,125,110,608,8,706,391,51.5,46.7,67.0,65.8,-1,-310,494,-498,315,-0.000223563603845294,-0.06930471719204113,0.11044042029957522,-0.11133467471495641,0.07042253521126761,3630.67529296875
851,2019-01-22,BTC,4976,0,1,100,27,344,0,3341,2863,706,111,610,8,683,344,47.6,45.9,66.3,64.0,-1,-317,478,-499,339,-0.00020096463022508038,-0.06370578778135048,0.09606109324758842,-0.10028135048231511,0.06812700964630225,3604.5771484375
852,2019-01-29,BTC,4047,0,97,0,30,360,0,2760,2572,336,227,347,5,689,330,40.8,48.4,55.5,65.6,-97,-330,188,-120,359,-0.023968371633308623,-0.08154188287620459,0.04645416357795898,-0.029651593773165306,0.08870768470471954,3448.116943359375
853,2019-02-05,BTC,3881,0,97,0,32,291,0,2532,2429,373,245,354,4,695,333,42.8,51.6,56.8,66.8,-97,-259,103,-109,362,-0.0249935583612471,-0.06673537748003092,0.026539551661942797,-0.028085544962638494,0.09327492914197372,3466.357421875
854,2019-02-12,BTC,3361,0,97,11,134,205,15,1697,2090,232,510,462,0,762,249,37.8,41.9,55.5,60.1,-97,-71,-393,48,513,-0.02886045819696519,-0.021124665278191016,-0.11692948527224041,0.01428146385004463,0.15263314489735197,3653.528564453125
855,2019-02-19,BTC,3964,0,97,27,170,165,52,1834,2259,268,704,761,51,858,284,33.9,54.7,48.5,68.9,-97,5,-425,-57,574,-0.02447023208879919,0.0012613521695257316,-0.10721493440968718,-0.01437941473259334,0.144803229061554,3947.094482421875
856,2019-02-26,BTC,3324,0,124,0,54,283,27,1575,1885,105,739,624,0,824,276,42.1,50.1,53.4,67.5,-124,-229,-310,115,548,-0.03730445246690734,-0.06889290012033694,-0.09326113116726835,0.034596871239470514,0.1648616125150421,3854.35791015625
857,2019-03-05,BTC,3226,0,124,0,33,228,27,1347,1812,138,823,559,0,858,338,42.4,51.0,53.9,69.2,-124,-195,-465,264,520,-0.038437693738375696,-0.060446373217606944,-0.14414135151890886,0.08183508989460632,0.16119032858028517,3896.375
858,2019-03-12,BTC,3480,0,124,0,97,195,40,1459,2257,187,751,343,104,842,230,39.5,47.4,50.7,64.6,-124,-98,-798,408,612,-0.035632183908045977,-0.028160919540229885,-0.2293103448275862,0.11724137931034483,0.17586206896551723,3909.15625
859,2019-03-19,BTC,3681,0,124,0,156,177,0,1460,2528,129,767,285,166,1003,272,38.7,49.4,49.3,70.3,-124,-21,-1068,482,731,-0.033686498234175494,-0.0057049714751426246,-0.29013854930725347,0.13094267861994024,0.19858734039663134,4071.190185546875
860,2019-03-26,BTC,3428,0,124,0,35,241,0,1238,2105,276,687,88,262,930,332,38.89999999999999,40.5,50.0,59.60000000000001,-124,-206,-867,599,598,-0.03617269544924154,-0.060093348891481914,-0.2529171528588098,0.17473745624270712,0.17444574095682613,3985.080810546875
861,2019-04-02,BTC,4000,0,158,0,315,89,35,1517,2598,416,598,440,20,1099,244,32.9,50.0,44.6,65.2,-158,226,-1081,158,855,-0.0395,0.0565,-0.27025,0.0395,0.21375,4879.8779296875
862,2019-04-09,BTC,4443,0,158,0,244,80,3,1968,2714,350,634,804,68,1176,266,38.1,59.5,48.1,71.6,-158,164,-746,-170,910,-0.035561557506189514,0.03691199639882962,-0.1679045689849201,-0.03826243529146973,0.20481656538374973,5204.95849609375
863,2019-04-16,BTC,4324,0,158,0,163,201,0,2272,2541,176,532,975,17,1164,256,44.8,54.9,57.2,68.9,-158,-38,-269,-443,908,-0.03654024051803885,-0.008788159111933395,-0.0622109158186864,-0.10245143385753931,0.20999074930619796,5235.5595703125
864,2019-04-23,BTC,4313,0,158,0,245,132,4,2025,2458,152,501,1173,0,1386,236,42.5,53.5,53.4,68.0,-158,113,-433,-672,1150,-0.03663343380477626,0.026199860885694412,-0.10039415719916532,-0.15580802225828888,0.26663575237653603,5572.3623046875
865,2019-04-30,BTC,3817,0,123,0,254,72,35,1789,2375,63,458,942,0,1218,207,39.0,53.8,51.8,71.5,-123,182,-586,-484,1011,-0.03222425988996594,0.047681425203039036,-0.15352370971967513,-0.12680115273775217,0.2648676971443542,5350.7265625
866,2019-05-07,BTC,4388,0,123,0,286,0,29,1941,2692,79,719,1216,0,1334,249,33.4,56.5,45.1,74.9,-123,286,-751,-497,1085,-0.028030993618960803,0.06517775752051048,-0.1711485870556062,-0.11326344576116681,0.24726526891522332,5829.50146484375
867,2019-05-14,BTC,4447,0,123,0,199,0,15,2289,2455,274,317,1218,0,1353,362,37.6,61.8,49.6,77.1,-123,199,-166,-901,991,-0.027659096019788623,0.04474926917022712,-0.037328536091747244,-0.20260850011243536,0.2228468630537441,7994.416015625
868,2019-05-21,BTC,4650,0,123,0,223,0,0,2354,2498,384,268,1251,0,1421,394,36.8,67.9,47.6,80.2,-123,223,-144,-983,1027,-0.026451612903225806,0.04795698924731183,-0.03096774193548387,-0.2113978494623656,0.22086021505376344,7963.32763671875
869,2019-05-28,BTC,5190,0,123,0,319,0,0,2709,2763,371,238,1577,0,1553,356,34.0,66.6,44.6,79.3,-123,319,-54,-1339,1197,-0.023699421965317918,0.061464354527938345,-0.010404624277456647,-0.25799614643545277,0.230635838150289,8719.9619140625
870,2019-06-04,BTC,4436,0,0,0,300,56,0,2321,2698,211,213,1043,0,1391,428,40.9,59.89999999999999,50.6,76.1,0,244,-377,-830,963,0.0,0.05500450856627592,-0.08498647430117223,-0.18710550045085664,0.21708746618575292,7707.77099609375
871,2019-06-11,BTC,4434,0,0,0,359,0,0,2073,3044,256,362,751,24,1360,359,36.5,63.199999999999996,46.6,79.6,0,359,-971,-389,1001,0.0,0.08096526838069464,-0.2189896256202075,-0.08773116824537663,0.2257555254848895,7927.71435546875
872,2019-06-18,BTC,5391,0,0,0,354,0,0,2564,2911,491,482,1621,0,1500,368,32.6,70.2,44.6,83.9,0,354,-347,-1139,1132,0.0,0.06566499721758487,-0.06436653682062697,-0.21127805601929142,0.2099795956223335,9081.7626953125
873,2019-06-25,BTC,6021,0,0,0,310,0,25,3093,3246,366,490,1967,0,1737,417,32.7,74.6,42.7,83.8,0,310,-153,-1477,1320,0.0,0.05148646404251785,-0.025411061285500747,-0.24530808835741572,0.2192326856003986,11790.9169921875
874,2019-07-02,BTC,5839,36,0,0,188,146,30,3253,3326,162,605,1812,30,1535,333,34.3,68.3,45.6,81.6,36,42,-73,-1207,1202,0.006165439287549238,0.007193012502140777,-0.0125021407775304,-0.20671347833533138,0.20585716732317177,10801.677734375
875,2019-07-09,BTC,6075,57,0,0,249,109,15,3233,3730,136,625,1711,30,1730,344,33.0,66.7,44.0,80.7,57,140,-497,-1086,1386,0.009382716049382716,0.023045267489711935,-0.08181069958847736,-0.17876543209876544,0.22814814814814816,12573.8125
876,2019-07-16,BTC,5322,39,0,0,211,151,0,2566,3394,120,506,1157,91,1789,409,34.2,59.9,43.8,74.4,39,60,-828,-651,1380,0.007328072153325817,0.011273957158962795,-0.1555806087936866,-0.12232243517474634,0.2593010146561443,9477.6416015625
877,2019-07-23,BTC,4928,40,0,0,102,111,53,2208,2799,59,682,1370,72,1712,464,31.700000000000003,65.3,43.0,78.7,40,-9,-591,-688,1248,0.008116883116883116,-0.0018262987012987013,-0.11992694805194805,-0.1396103896103896,0.2532467532467532,9900.767578125
878,2019-07-30,BTC,4302,60,0,0,251,147,0,1843,2288,6,533,1280,86,1523,495,35.2,58.9,44.3,75.2,60,104,-445,-747,1028,0.01394700139470014,0.02417480241748024,-0.10344026034402604,-0.17364016736401675,0.2389586238958624,9607.423828125
879,2019-08-06,BTC,4692,0,0,0,260,224,0,1847,2264,35,713,1586,37,1800,546,30.8,68.8,40.1,81.5,0,36,-417,-873,1254,0.0,0.0076726342710997444,-0.08887468030690537,-0.1860613810741688,0.2672634271099744,11478.1689453125
880,2019-08-13,BTC,4729,0,50,0,222,224,0,2002,2480,20,647,1346,90,1748,519,30.5,62.1,39.6,77.5,-50,-2,-478,-699,1229,-0.010573059843518714,-0.00042292239374074856,-0.10107845210403892,-0.14781137661239163,0.25988581095369,10895.830078125
881,2019-08-20,BTC,4485,0,50,0,266,224,5,1836,2209,13,463,1350,206,1696,428,32.1,60.8,41.2,75.4,-50,42,-373,-887,1268,-0.011148272017837236,0.009364548494983277,-0.08316610925306578,-0.19777034559643256,0.2827201783723523,10763.232421875
882,2019-08-27,BTC,4091,0,50,0,237,222,0,1739,2093,13,309,1131,68,1725,514,34.8,57.1,44.0,74.5,-50,15,-354,-822,1211,-0.012221950623319482,0.0036665851869958446,-0.08653141041310193,-0.20092886824737227,0.29601564409679787,10185.5
883,2019-09-03,BTC,4493,31,50,0,324,163,0,1979,2467,36,421,1221,118,1584,438,31.100000000000005,55.6,41.0,68.3,-19,161,-488,-800,1146,-0.0042288003561095034,0.035833518807033164,-0.10861339862007567,-0.17805475183618963,0.25506343200534165,10623.5400390625
884,2019-09-10,BTC,4128,31,50,0,244,190,0,1692,2233,142,480,951,111,1428,451,31.2,55.7,40.3,69.9,-19,54,-541,-471,977,-0.004602713178294574,0.01308139534883721,-0.1310562015503876,-0.11409883720930232,0.2366763565891473,10115.9755859375
885,2019-09-17,BTC,4174,31,50,0,262,201,0,1688,2254,164,521,1093,55,1453,357,30.7,59.8,39.5,73.8,-19,61,-566,-572,1096,-0.004551988500239578,0.014614278869190225,-0.13560134163871587,-0.1370388116914231,0.2625778629611883,10241.2724609375
886,2019-09-24,BTC,4178,72,50,0,42,100,55,1651,2510,171,488,687,71,1628,534,32.6,43.7,40.9,60.0,22,-58,-859,-199,1094,0.005265677357587362,-0.013882240306366683,-0.20560076591670656,-0.047630445189085685,0.26184777405457155,8620.56640625
887,2019-10-01,BTC,3348,59,0,0,70,31,30,1298,2063,42,374,572,65,1410,545,33.4,48.2,40.2,65.9,59,39,-765,-198,865,0.01762246117084827,0.011648745519713262,-0.22849462365591397,-0.05913978494623656,0.258363201911589,8343.2763671875
888,2019-10-08,BTC,3335,59,0,0,140,138,0,1211,2048,79,395,526,56,1395,488,31.9,44.2,39.8,63.2,59,2,-837,-131,907,0.017691154422788607,0.0005997001499250374,-0.2509745127436282,-0.039280359820089955,0.2719640179910045,8228.783203125
889,2019-10-15,BTC,3444,59,0,0,210,149,1,1186,2031,154,370,511,46,1418,552,30.3,39.6,39.4,60.0,59,61,-845,-141,866,0.01713124274099884,0.017711962833914054,-0.2453542392566783,-0.040940766550522645,0.251451800232288,8205.369140625
890,2019-10-22,BTC,3093,59,0,0,163,31,0,950,1714,148,321,518,68,1384,614,25.800000000000004,44.89999999999999,35.0,62.39999999999999,59,132,-764,-197,770,0.019075331393469123,0.04267701260911736,-0.24700937601034595,-0.06369220821209182,0.24894924021985126,8078.203125
891,2019-10-29,BTC,3155,33,0,0,260,86,0,956,2016,103,569,445,49,1185,456,25.5,53.8,35.0,68.8,33,174,-1060,124,729,0.010459587955625991,0.05515055467511886,-0.3359746434231379,0.0393026941362916,0.23106180665610143,9427.6875
