,Report_Date_as_MM_DD_YYYY,Instrument,Open_Interest_All,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Dealer Net,Asset Manager Net,Levered Net,Other Rept Positions Net,Non Rept Positions Net,Dealer Net Pct OI,AM Net Pct OI,HF Net Pct OI,Other Rept Positions Net Pct OI,Non Rept Positions Net Pct OI,Price
2858,2024-04-30,NASDAQ,695647,77716,136155,32460,198503,45481,19812,113085,245119,68622,23240,35545,6350,155859,106102,18.394430221074767,23.602559631537257,28.154699581828137,36.5749418886303,-58439,153022,-132034,-12305,49757,-0.08400668729973679,0.21997076103253518,-0.1898002866396319,-0.017688569058732374,0.07152621947625735,419.9776306152344
2859,2024-05-07,NASDAQ,649106,67382,125106,31099,202613,37608,19668,111104,194959,68142,17125,35531,6640,125330,130351,18.853614047628586,21.219977938888256,29.108166000622393,34.65556996854134,-57724,165005,-83855,-18406,-5021,-0.08892846468835598,0.25420347370075147,-0.12918537188070978,-0.02835592337769178,-0.0077352543344230374,435.5367736816406
2860,2024-05-14,NASDAQ,684984,83679,133833,31092,204011,36933,20455,120871,211278,71346,23573,45572,7804,122153,126672,19.32897352346916,22.723870922532498,29.492705085082275,35.8864233325158,-50154,167078,-90407,-21999,-4519,-0.07321922847832942,0.24391518634011888,-0.13198410473821287,-0.03211607862373428,-0.006597234387956507,441.0858154296875
2861,2024-05-21,NASDAQ,679315,72156,143938,35087,211481,38379,20568,121663,174741,64973,16875,68062,7823,128688,125743,19.343821938276058,22.772804810728456,29.468485754031633,36.173267629891875,-71782,173102,-53078,-51187,2945,-0.10566820988790178,0.25481845682783394,-0.07813459146345951,-0.07535090495572747,0.004335249479254837,450.84857177734375
2862,2024-05-28,NASDAQ,723744,74123,158918,36450,223823,39215,17011,124836,185870,66543,20201,53449,8253,152505,158036,18.13144537294955,22.077499226245745,28.121231816774994,33.6404518724853,-84795,184608,-61034,-33248,-5531,-0.11716159304947606,0.25507361719060884,-0.0843309236415086,-0.045938895521068224,-0.007642204978555954,454.68646240234375
2863,2024-06-04,NASDAQ,666483,75583,147524,40603,215759,45598,17791,98014,164326,58993,22044,67847,7362,130334,116437,17.610692695837706,22.748997948934928,27.79408056919681,35.554603793345066,-71941,170161,-66312,-45803,13897,-0.10794123781101693,0.25531183841148236,-0.09949541098572656,-0.06872343330587577,0.020851244517864673,449.4341125488281
2864,2024-06-11,NASDAQ,711401,103502,151103,45256,214144,46819,10652,122908,182995,69441,18298,64145,6589,120611,134401,20.362025215033437,24.12723175817858,31.23314389493408,37.64989450394363,-47601,167325,-60087,-45847,-13790,-0.06691162930611567,0.2352048985030946,-0.08446291191606421,-0.06444607190599957,-0.01938428537491513,462.93585205078125
2865,2024-06-18,NASDAQ,901783,88471,135992,129101,206824,51033,25128,140495,218592,112495,37459,49822,35242,126569,144377,19.625421526021228,22.811366925302426,31.589609251893197,34.998558189719695,-47521,155791,-78097,-12363,-17808,-0.05269671306733438,0.17275885662071697,-0.08660287452746393,-0.013709506610792175,-0.019747544586668855,479.9390869140625
2866,2024-06-25,NASDAQ,637974,56478,171834,29336,221327,45901,11707,110350,173736,54992,19057,26695,12357,122370,111416,17.285099392765222,21.437874270738302,27.956176583998722,34.44041355917326,-115356,175426,-63386,-7638,10954,-0.1808161461125375,0.2749735882653525,-0.09935514613448197,-0.011972274732199117,0.017169978713866083,474.9261169433594
2867,2024-07-02,NASDAQ,666552,60476,185088,30028,220234,48122,11150,123537,179831,49674,34275,16930,13296,123883,132433,18.043428869765602,20.423019959433024,28.984235288469616,32.400196233752204,-124612,172112,-56294,17345,-8550,-0.1869501554267334,0.258212412534956,-0.08445552635053229,0.02602197577983413,-0.01282720627948007,482.4554748535156
2868,2024-07-09,NASDAQ,689373,68274,189782,30722,229239,53181,11105,115394,179695,56938,36132,18267,15435,126135,134248,18.45055535972543,20.698943532746423,29.8720329922988,32.61018229608645,-121508,176058,-64301,17865,-8113,-0.17625871625375522,0.25538859224251603,-0.09327461330803498,0.025914853062130372,-0.011768665149345854,493.1452331542969
2869,2024-07-16,NASDAQ,686650,55923,186009,34364,229885,51698,12524,107906,181662,59889,39025,24344,14183,132948,121974,16.808387096774194,22.792679822325784,29.34574178984927,35.78192092041069,-130086,178187,-73756,14681,10974,-0.18945022937449937,0.25950192965848684,-0.10741425762761232,0.021380616034369766,0.01598194130925508,491.7285461425781
2870,2024-07-23,NASDAQ,668496,45457,180096,31346,211775,58080,16352,94820,164007,60733,44727,31546,10307,152979,116030,16.016842135181065,23.475466270553603,27.285649427969652,36.687058262128716,-134639,153695,-69187,13181,36949,-0.20140584236854073,0.2299116225078385,-0.1034965055886647,0.019717395466838993,0.05527183408726455,476.1545715332031
2871,2024-07-30,NASDAQ,735900,49689,200149,37021,212849,61624,17387,91302,174402,76801,57040,34743,10451,183359,123321,17.999957331159127,23.4546076912624,29.140618834080716,34.87870281288218,-150460,151225,-83100,22297,60038,-0.2044571273270825,0.20549667074330752,-0.1129229514879739,0.03029895366218236,0.08158445440956652,453.27911376953125
2872,2024-08-06,NASDAQ,722670,47748,214870,43630,205998,52874,16391,84770,152839,89034,77825,19811,15152,142123,118069,22.725270178643086,25.540504241216603,33.521451284818795,37.502357369200325,-167122,153124,-68069,58014,24054,-0.2312563133933884,0.21188647653839235,-0.09419098620393818,0.08027730499398066,0.03328490182240857,435.4463195800781
