,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
WBC.AX,Westpac,stocks,2,45,EWA,0.0,-4.863226113613759,0.5684615606543479,-0.7561009104658918,22.048839953279582,27.246865364752892,106.61452283688804
ANZ.AX,ANZ,stocks,2,45,EWA,0.0,-1.596289725666892,4.2837643368599245,-5.278803801650861,26.144600376716078,27.60809708163241,82.98028392492273
FMG.AX,Fortescue,stocks,2,40,EWA,0.0,2.5172765208304404,4.634761000572974,-1.0746422794982011,19.309060135613663,21.474873761402637,77.29613295424713
WDS.AX,Woodside,stocks,2,40,EWA,0.0,-0.36057372682181604,-3.5485781931361857,29.454915814493667,30.17556047427018,49.360906877432214,16.487803662184504
RY.TO,Royal Bank,stocks,2,90,EWC,0.0,1.6312136857211643,8.891894366290117,4.8809057798099,34.68126476334527,43.20073952872128,117.49809154973711
SHOP.TO,Shopify,stocks,2,80,EWC,0.0,14.09312859626199,9.527981109055936,16.36665485896896,-15.595488291547854,10.690590580775892,277.72746530151284
TD.TO,TD Bank,stocks,2,70,EWC,0.0,2.505747791320939,11.846996113687231,10.54106621151813,46.119417797691234,91.44439767981031,92.91626791816738
ENB.TO,Enbridge,stocks,2,50,EWC,0.0,-3.8180061022978315,-4.225718508786336,3.7519047355245028,16.386150001651867,28.909096325565965,69.3157496869273
CNR.TO,CN Rail,stocks,2,50,EWC,0.0,-0.847230613866137,7.344995645538242,4.117603789328219,21.14340176331894,0.25041401297119054,2.4487011993906904
BMO.TO,BMO,stocks,2,45,EWC,0.0,2.823811901213988,11.881672395224255,7.647550283700864,35.06587446971167,62.234369962807236,91.4421112170085
BN.TO,Brookfield,stocks,2,55,EWC,0.0,9.56298539327209,16.342128148418173,-1.1808158464807317,7.863011914134203,13.65675615775106,128.02561896953202
CP.TO,CP Kansas City,stocks,2,40,EWC,0.0,-0.27755858287398033,1.9944703270882431,-1.9566495884829074,8.172649155680064,6.076280351574432,12.676718256781728
STXIND.JO,Industrials,stocks,2,150,EZA,0.0,0.23849823049699953,2.550177095631641,-0.12265235722499042,-3.4158639040455068,13.143807342795046,66.84430909068968
STXFIN.JO,Financials,stocks,2,100,EZA,0.0,0.07689350249903884,4.412354592860008,-2.142857142857143,23.215275248966925,22.27392904826488,67.98361299647817
STXRES.JO,Resources,stocks,2,80,EZA,0.0,1.2171902624779,14.140019937121387,-1.0766265700804145,58.21158333027129,158.19671020357276,137.3462361780539
NPN.JO,Naspers,stocks,3,150,STXIND.JO,0.0,1.2600739124627098,3.0985787791554276,0.39620788221920555,-18.966966448679234,11.58461813864896,123.97160284413967
PRX.JO,Prosus,stocks,3,120,STXIND.JO,0.0,1.807620237351655,3.2221701518625,-1.021399596783988,-22.119630502575326,12.36953876272404,110.96393560913933
CFR.JO,Richemont,stocks,3,80,STXIND.JO,0.0,2.6942546627709554,7.821370791033612,-1.447154030798329,12.73376719781673,31.129703513305312,
BTI.JO,BAT,stocks,3,70,STXIND.JO,0.0,-2.051373155540693,-4.406935237123917,-0.8104280856687238,-6.260937697530969,37.32826829516488,36.851025386419856
SPP.JO,Shoprite,stocks,3,60,STXIND.JO,0.0,1.502666020358701,-3.353846153846154,-30.822596630327055,-40.36453389026011,-55.22771007055805,-59.01747983769495
